AA_URL,A_IDX,b_content_type,b_number_of_iframes,b_presence_of_double_body,b_presence_of_double_head,b_presence_of_double_html,c_is_src_different,c_is_src_external,c_is_src_in_whiteList,h_dis_attr,h_height_min,h_hidden_rule1,h_hidden_rule2,h_hidden_rule3,h_is_tag_hidden,h_left_attr,h_pos_attr,h_top_attr,h_vis_attr,h_width_min,l_abs_dis_iframe_body,l_abs_dis_iframe_html,l_abs_iframe,l_abs_minimum_dis,l_iframe_close_to_body_start_or_end,l_iframe_close_to_html_start_end,l_ratio_minimum_dis,l_rela_dis_iframe_body,l_rela_dis_iframe_html,l_rela_iframe,l_total_length_of_website,s2_query_has_id_as_arguments,s2_query_has_security_words,s2_url_has_popular_words,s_category_TLD,s_count_of_digits_sub,s_count_of_digits_webname,s_count_of_letters_sub,s_count_of_letters_webname,s_has_digit_sub,s_has_file_name_extension,s_has_fragment,s_has_src,s_has_subdomain,s_isword_sub,s_num_of_dots,s_path_len,s_pattern_sub,s_query_arg_num,s_src_len,s_src_len_query,s_src_len_sub,t_distance_to_body,t_distance_to_head,t_distance_to_html,t_distance_to_root,t_in_the_body,t_in_the_head,t_in_the_html
/Users/ketian/Desktop/martin/martinIframe/7b7cee98a466e93a30febd71e2c88519463007e5ca76210c6186502bf97d2e35,0,Discuz! 7.2,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,2034,1,end,end,0.0004911591355599214,0.0009823182711198428,0.0004911591355599214,0.9990176817288802,2036,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/7d29de7c9c444e9cda194618319fbd8e2b4fab3d4db2530ca1288d945a0f49c6,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,281,11,end,end,0.03767123287671233,0.03767123287671233,0.03767123287671233,0.9623287671232876,292,False,False,False,com,,0,,15,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/7e55e5939e9a193b9130b5cc543ad3407461c47f4f3285483ad77f42a706b0f2,0,,1,False,False,False,1,True,False,,5.0,False,False,False,False,,,,,5.0,11,11,38,11,end,end,0.22448979591836735,0.22448979591836735,0.22448979591836735,0.7755102040816326,49,False,False,False,com,,0,,15,,True,False,True,False,,1,8,,1,42,9,0,2,,3,4,True,False,True
/Users/ketian/Desktop/martin/martinIframe/7f173fcc8f8e741e2b1ad00a5f116f0186718be7b556d3bdced9fe68c547a53f,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,144,1,end,end,0.00684931506849315,0.0136986301369863,0.00684931506849315,0.9863013698630136,146,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/8c7a705f154aca240dac1fd47375f13de0fc07b18682587f2a6dda33856d2f3c,0,,1,False,False,False,1,True,False,,2.0,True,False,False,True,,,,,2.0,1,0,1414,0,end,end,0.0,0.0006798096532970768,0.0,0.9612508497620667,1471,False,False,False,org,,0,,13,,True,False,True,False,,1,9,,1,42,9,0,,,,1,False,False,False
/Users/ketian/Desktop/martin/martinIframe/90a9661635443add72829f444b34300bb122d2dc88bb3716dab8bc65368301d3,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,221,1,end,end,0.004484304932735426,0.008968609865470852,0.004484304932735426,0.9910313901345291,223,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/90ca33cb7e7d0c97286b6b7ce2e4bf928112bf5ae81c04896b9f37d42ff6e724,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,543,1,end,end,0.001834862385321101,0.003669724770642202,0.001834862385321101,0.9963302752293578,545,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/93f1eab828c4378bd411a8945c53255bbfc5b6d7dca56c824267e4c32d5a6bb3,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,139,1,end,end,0.0070921985815602835,0.014184397163120567,0.0070921985815602835,0.9858156028368794,141,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/986e991eaa7ceba5a09fd7b065cd805e26ec015520d462cc5e8c484a43e29112,0,,1,False,False,False,1,True,False,,1.0,True,False,False,True,,,,,1.0,2,1,145,1,end,end,0.006802721088435374,0.013605442176870748,0.006802721088435374,0.9863945578231292,147,False,False,False,pl,,0,,10,,False,False,True,False,,2,2,,0,23,0,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/99c84069fdb8bbca548e6030584af8e15b07f708ac0f9846d0b48e71d90e57ae,0,,1,False,False,False,1,True,False,,70.0,False,False,False,False,,,,,25.0,1,0,74,0,end,end,0.0,0.013333333333333334,0.0,0.9866666666666667,75,True,False,False,com,,0,,14,,True,False,True,False,,1,8,,1,41,9,0,1,,2,3,True,False,True
/Users/ketian/Desktop/martin/martinIframe/a139f7918ad4fc9e1ac9dfd377b2e1690d622b2e2a5382aea71b01ca4f9c5a15,0,,1,False,False,False,1,True,False,,2.0,True,False,False,True,,,,,2.0,2,0,352,0,end,end,0.0,0.005649717514124294,0.0,0.9943502824858758,354,False,False,False,com,,0,,21,,True,False,True,False,,1,9,,1,48,8,0,1,,2,3,True,False,True
